date_time,pv_energy,income_value,full_power_hours,filled
2022-07-27,628.60,408.59,5.03,False
2022-07-28,615.40,400.01,4.92,False
2022-07-29,609.40,396.11,4.88,False
2022-07-30,590.10,383.56,4.72,False
2022-07-31,593.20,385.58,4.75,False
2022-08-01,566.20,368.03,4.53,False
2022-08-02,516.20,335.53,4.13,False
2022-08-03,597.80,388.57,4.78,False
2022-08-04,599.50,389.68,4.80,False
2022-08-05,584.60,379.99,4.68,False
2022-08-06,576.00,374.40,4.61,False
2022-08-07,603.90,392.54,4.83,False
2022-08-08,526.50,342.23,4.21,False
2022-08-09,511.70,332.61,4.09,False
2022-08-10,463.20,301.08,3.71,False
2022-08-11,496.40,322.66,3.97,False
2022-08-12,585.10,380.31,4.68,False
2022-08-13,531.10,345.21,4.25,False
2022-08-14,627.80,408.07,5.02,False
2022-08-15,615.50,400.07,4.92,False
2022-08-16,418.70,272.15,3.35,False
2022-08-17,613.80,398.97,4.91,False
2022-08-18,620.80,403.52,4.97,False
2022-08-19,600.70,390.45,4.81,False
2022-08-20,626.90,407.49,5.01,False
2022-08-21,655.00,425.75,5.24,False
2022-08-22,650.60,422.89,5.21,False
2022-08-23,644.40,418.86,5.16,False
2022-08-24,572.00,371.80,4.58,False
2022-08-25,505.30,328.44,4.04,False
2022-08-26,503.70,327.40,4.03,False
2022-08-27,564.10,366.67,4.51,False
2022-08-28,590.50,383.82,4.72,False
2022-08-29,624.20,405.73,4.99,False
2022-08-30,607.40,394.81,4.86,False
2022-08-31,619.70,402.81,4.96,False
2022-09-01,649.80,422.37,5.20,False
2022-09-02,644.40,418.86,5.16,False
2022-09-03,641.20,416.78,5.13,False
2022-09-04,622.00,404.30,4.98,False
2022-09-05,630.60,409.89,5.04,False
2022-09-06,576.20,374.53,4.61,False
2022-09-07,541.90,352.24,4.33,False
2022-09-08,599.90,389.94,4.80,False
2022-09-09,626.00,406.90,5.01,False
2022-09-10,632.50,411.12,5.06,False
2022-09-11,570.50,370.82,4.56,False
2022-09-12,573.40,372.71,4.59,False
2022-09-13,595.70,387.20,4.77,False
2022-09-14,417.30,271.25,3.34,False
2022-09-15,235.80,153.27,1.89,False
2022-09-16,211.30,137.34,1.69,False
2022-09-17,190.10,123.56,1.52,False
2022-09-18,209.10,135.91,1.67,False
2022-09-19,92.40,60.06,0.74,False
2022-09-20,183.80,119.47,1.47,False
2022-09-21,213.10,138.51,1.71,False
2022-09-22,72.90,47.38,0.58,False
2022-09-23,201.60,131.04,1.61,False
2022-09-24,194.00,126.10,1.55,False
2022-09-25,208.00,135.20,1.66,False
2022-09-26,248.80,161.72,1.99,False
2022-09-27,193.50,125.78,1.55,False
2022-09-28,234.50,152.43,1.88,False
2022-09-29,237.40,154.31,1.90,False
2022-09-30,281.60,183.04,2.25,False
2022-10-01,273.00,177.45,2.18,False
2022-10-02,92.80,60.32,0.74,False
2022-10-03,189.40,123.11,1.51,False
2022-10-04,169.70,110.31,1.36,False
2022-10-05,187.00,121.55,1.50,False
2022-10-06,244.60,158.99,1.96,False
2022-10-07,95.60,62.14,0.77,False
2022-10-08,204.70,133.06,1.64,False
2022-10-09,225.20,146.38,1.80,False
2022-10-10,311.30,202.34,2.49,False
2022-10-11,297.60,193.44,2.38,False
2022-10-12,306.70,199.35,2.45,False
2022-10-13,307.20,199.68,2.46,False
2022-10-14,298.50,194.03,2.39,False
2022-10-15,321.70,209.10,2.57,False
2022-10-16,315.00,204.75,2.52,False
2022-10-17,319.90,207.94,2.56,False
2022-10-18,286.00,185.90,2.29,False
2022-10-19,247.50,160.88,1.98,False
2022-10-20,225.40,146.51,1.80,False
2022-10-21,152.60,99.19,1.22,False
2022-10-22,189.70,123.31,1.52,False
2022-10-23,161.20,104.78,1.29,False
2022-10-24,175.80,114.27,1.41,False
2022-10-25,274.20,178.23,2.19,False
2022-10-26,232.80,151.32,1.86,False
2022-10-27,243.10,158.01,1.95,False
2022-10-28,225.40,146.51,1.80,False
2022-10-29,209.20,135.98,1.67,False
2022-10-30,235.70,153.21,1.89,False
2022-10-31,244.60,158.99,1.96,False
2022-11-01,451.40,293.41,3.61,False
2022-11-02,131.00,85.15,1.05,False
2022-11-03,288.40,187.46,2.31,False
2022-11-04,436.40,283.66,3.49,False
2022-11-05,536.50,348.73,4.29,False
2022-11-06,458.70,298.15,3.67,False
2022-11-07,577.90,375.63,4.62,False
2022-11-08,426.30,277.10,3.41,False
2022-11-09,652.60,424.19,5.22,False
2022-11-10,334.10,217.16,2.67,False
2022-11-11,261.80,170.17,2.09,False
2022-11-12,234.10,152.16,1.87,False
2022-11-13,506.00,328.90,4.05,False
2022-11-14,466.90,303.49,3.73,False
2022-11-15,468.30,304.39,3.75,False
2022-11-16,389.60,253.24,3.12,False
2022-11-17,565.30,367.44,4.52,False
2022-11-18,549.30,357.05,4.39,False
2022-11-19,548.03,,,True
2022-11-20,546.77,,,True
2022-11-21,545.50,354.57,4.36,False
2022-11-22,485.50,315.57,3.88,False
2022-11-23,437.70,284.50,3.50,False
2022-11-24,521.80,339.17,4.17,False
2022-11-25,473.60,307.84,3.79,False
2022-11-26,423.10,275.01,3.38,False
2022-11-27,465.70,302.70,3.73,False
2022-11-28,473.40,307.71,3.79,False
2022-11-29,440.20,286.13,3.52,False
2022-11-30,390.50,253.82,3.12,False
2022-12-01,583.00,378.95,4.66,False
2022-12-02,464.10,301.67,3.71,False
2022-12-03,442.00,287.30,3.54,False
2022-12-04,381.50,247.97,3.05,False
2022-12-05,323.70,210.41,2.59,False
2022-12-06,332.90,216.38,2.66,False
2022-12-07,399.70,259.81,3.20,False
2022-12-08,471.00,306.15,3.77,False
2022-12-09,444.20,288.73,3.55,False
2022-12-10,556.20,361.53,4.45,False
2022-12-11,521.90,339.24,4.17,False
2022-12-12,576.60,374.79,4.61,False
2022-12-13,377.80,245.57,3.02,False
2022-12-14,462.70,300.75,3.70,False
2022-12-15,318.80,207.22,2.55,False
2022-12-16,247.50,160.88,1.98,False
2022-12-17,218.40,141.96,1.75,False
2022-12-18,399.40,259.61,3.19,False
2022-12-19,87.50,56.88,0.70,False
2022-12-20,314.90,204.69,2.52,False
2022-12-21,234.80,152.62,1.88,False
2022-12-22,528.70,343.65,4.23,False
2022-12-23,456.00,296.40,3.65,False
2022-12-24,168.10,109.27,1.34,False
2022-12-25,369.10,239.91,2.95,False
2022-12-26,178.40,115.96,1.43,False
2022-12-27,432.40,281.06,3.46,False
2022-12-28,407.70,265.00,3.26,False
2022-12-29,437.80,284.57,3.50,False
2022-12-30,144.20,93.73,1.15,False
2022-12-31,346.80,225.42,2.77,False
2023-01-01,475.30,308.94,3.80,False
