date_time,pv_energy,income_value,full_power_hours,filled
2022-07-10,606.40,394.16,4.15,False
2022-07-11,579.80,376.87,3.97,False
2022-07-12,575.60,374.14,3.94,False
2022-07-13,599.40,389.61,4.11,False
2022-07-14,563.20,366.08,3.86,False
2022-07-15,593.20,385.58,4.06,False
2022-07-16,581.80,378.17,3.98,False
2022-07-17,532.90,346.38,3.65,False
2022-07-18,639.60,415.74,4.38,False
2022-07-19,576.30,374.60,3.95,False
2022-07-20,625.30,406.44,4.28,False
2022-07-21,582.70,378.75,3.99,False
2022-07-22,563.00,365.95,3.86,False
2022-07-23,614.80,399.62,4.21,False
2022-07-24,623.40,405.21,4.27,False
2022-07-25,614.20,399.23,4.21,False
2022-07-26,618.70,402.15,4.24,False
2022-07-27,635.80,413.27,4.36,False
2022-07-28,620.60,403.39,4.25,False
2022-07-29,617.40,401.31,4.23,False
2022-07-30,598.70,389.15,4.10,False
2022-07-31,608.10,395.26,4.17,False
2022-08-01,587.50,381.88,4.02,False
2022-08-02,541.80,352.17,3.71,False
2022-08-03,609.90,396.44,4.18,False
2022-08-04,612.50,398.12,4.20,False
2022-08-05,598.00,388.70,4.10,False
2022-08-06,588.50,382.52,4.03,False
2022-08-07,615.80,400.27,4.22,False
2022-08-08,546.60,355.29,3.74,False
2022-08-09,546.20,355.03,3.74,False
2022-08-10,500.30,325.19,3.43,False
2022-08-11,526.00,341.90,3.60,False
2022-08-12,605.30,393.44,4.15,False
2022-08-13,557.60,362.44,3.82,False
2022-08-14,644.80,419.12,4.42,False
2022-08-15,635.80,413.27,4.36,False
2022-08-16,453.30,294.64,3.10,False
2022-08-17,633.30,411.64,4.34,False
2022-08-18,641.10,416.71,4.39,False
2022-08-19,618.20,401.83,4.23,False
2022-08-20,653.10,424.51,4.47,False
2022-08-21,683.60,444.34,4.68,False
2022-08-22,678.50,441.02,4.65,False
2022-08-23,675.40,439.01,4.63,False
2022-08-24,601.90,391.24,4.12,False
2022-08-25,537.30,349.25,3.68,False
2022-08-26,541.60,352.04,3.71,False
2022-08-27,600.90,390.58,4.12,False
2022-08-28,624.90,406.19,4.28,False
2022-08-29,660.10,429.06,4.52,False
2022-08-30,653.50,424.77,4.48,False
2022-08-31,664.60,431.99,4.55,False
2022-09-01,695.00,451.75,4.76,False
2022-09-02,691.30,449.35,4.74,False
2022-09-03,687.30,446.75,4.71,False
2022-09-04,669.50,435.18,4.59,False
2022-09-05,682.30,443.50,4.67,False
2022-09-06,630.30,409.69,4.32,False
2022-09-07,585.60,380.64,4.01,False
2022-09-08,659.10,428.42,4.51,False
2022-09-09,681.20,442.78,4.67,False
2022-09-10,687.40,446.81,4.71,False
2022-09-11,628.10,408.26,4.30,False
2022-09-12,626.70,407.36,4.29,False
2022-09-13,658.50,428.02,4.51,False
2022-09-14,509.30,331.05,3.49,False
2022-09-15,632.10,410.87,4.33,False
2022-09-16,579.40,376.61,3.97,False
2022-09-17,523.40,340.21,3.58,False
2022-09-18,558.90,363.29,3.83,False
2022-09-19,259.90,168.94,1.78,False
