date_time,pv_energy,pv_energy_est,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2022-12-23,452.4425,487.9576,5.4541,5.792,7.4414,8.3772,5.0626,0.7361,0.1732,0.3818,1.1467,0.7639,60.2819,28.4201,8.3648,140.638,52.0644,5.1896,3.5117,0.0,10.9375,6.0625,26.5745,16.967,0.0,61.8182,23.6142,12.1326,12.1398,0.0,49.9491,8.2104,23.7703,2.0139,19.0,26.0,24.0,37.5897,9.4102,19.4062,52.3438,40.1562,1.0764,0.5196,0.4,2.2,0.85,34.4804,20.0641,0.0,80.8,34.0,12.3333,1,0.7329,3
2022-12-24,185.4017,542.1237,6.0831,6.4902,7.4278,8.3792,5.5938,0.8087,0.1636,0.4458,1.4783,0.8202,53.0218,17.9313,16.1827,99.9785,51.4536,5.6125,4.043,0.0,11.825,5.925,20.4755,13.0716,0.0,55.4217,17.9775,7.7568,9.2617,0.0,41.34,3.8046,23.3691,1.686,19.0,25.0,24.0,38.6789,10.6439,19.375,54.5625,39.8125,3.0134,0.4944,1.7,3.8,3.0,29.5698,17.8779,1.4,79.5,25.0,12.4167,2,0.819,3
2022-12-25,356.0408,395.2808,4.4838,4.701,7.423,8.3882,4.195,0.5743,0.2881,0.0745,1.3243,0.6543,50.1548,30.1104,6.5966,145.6069,48.5758,3.6917,3.5039,0.0,9.9375,3.4,43.3368,27.2728,0.0,92.555,34.5679,28.5879,28.346,0.0,86.3787,15.4378,22.2617,1.3069,19.0,24.0,23.0,33.5464,9.5498,19.4062,49.8438,33.5,3.6188,0.5747,2.2,4.3,3.8,51.1966,26.2035,8.0,93.4,46.6,12.4167,1,0.604,1
2022-12-26,184.0083,111.0803,1.6428,1.6703,7.3976,8.378,1.6243,0.3043,0.2634,0.0632,1.5,0.2189,25.6371,21.0753,4.3161,86.1965,16.4308,0.4258,0.9982,0.0,3.8875,0.0,70.5799,22.5923,0.0,93.681,78.1124,57.389,21.8373,0.0,88.0602,63.8266,20.094,0.537,19.0,21.0,20.0,24.2286,3.5588,19.3438,34.7188,23.25,4.0174,0.5505,3.1,5.3,3.8,78.594,10.5834,53.0,94.0,82.6,12.4167,0,0.2221,2
2022-12-27,429.7058,387.275,4.368,4.5113,7.4384,8.4142,4.1524,0.6536,0.2366,0.3421,1.5,0.6186,47.0872,24.7855,12.4033,131.1223,40.0175,3.4449,2.6753,0.0,8.125,3.0625,36.957,17.0801,0.0,65.7866,38.1435,19.0677,11.782,0.0,44.7349,16.7284,22.32,2.0442,19.0,25.0,23.0,33.24,7.2407,19.3438,45.3125,32.6562,3.0487,0.5113,1.7,3.6,3.2,46.482,14.4888,10.2,81.0,47.0,12.5,0,0.5872,2
2022-12-28,352.6683,409.0309,4.6377,4.9463,7.4142,8.3562,4.3164,0.6288,0.3051,0.0525,1.4839,0.7126,64.548,44.9606,14.339,188.0084,49.8547,4.2878,3.6533,0.0,10.675,4.4188,37.6464,29.5149,0.0,94.7484,28.7418,24.7154,28.3923,0.0,90.4847,9.6208,23.4324,2.0968,19.0,26.0,23.0,35.1835,9.8163,19.5,51.6875,36.0469,2.677,0.7854,1.1,3.4,3.0,45.4608,28.8872,0.1,95.5,41.0,12.3333,4,0.6255,1
2022-12-29,443.0892,476.5514,5.3695,5.6739,7.446,8.3837,4.9785,0.751,0.2241,0.2273,1.5,0.783,54.4796,38.4654,12.1917,202.2849,45.8997,5.0482,3.6335,0.0,10.8625,4.5562,26.5488,18.9802,0.0,77.2727,21.6996,12.4587,15.3273,0.0,61.0455,6.1628,23.9333,2.1509,19.0,27.0,24.5,37.3571,9.4966,19.5,52.1562,36.3906,3.002,0.7014,1.5,3.8,3.1,35.152,19.3557,0.0,79.0,30.7,12.5,3,0.7211,3
2022-12-30,176.8475,126.1909,1.8001,1.8872,7.3711,8.2972,1.7687,0.3839,0.3339,0.0419,1.5,0.2895,28.9845,19.7805,3.3155,100.5787,25.9568,1.0029,1.1918,0.0,3.825,0.25,63.1623,29.2657,0.0,95.8078,71.0454,50.6036,28.8822,0.0,91.9755,53.5652,22.3533,1.1709,19.0,24.0,22.0,26.8535,3.6703,19.375,34.5625,25.625,1.806,0.7733,0.3,3.5,1.8,69.4513,24.1035,5.4,96.0,75.0,12.5,2,0.2442,2
2022-12-31,343.1383,342.7079,3.9514,4.1058,7.3614,8.2499,3.7093,0.491,0.2254,0.1549,0.9792,0.4362,54.7827,36.0073,10.8572,135.6333,41.7538,3.6055,3.4054,0.0,10.95,2.9812,50.8967,22.5422,2.0761,84.507,56.3752,33.6194,22.3879,0.0498,76.6479,34.3191,23.0915,1.4533,19.0,25.0,23.5,33.5266,9.0955,19.375,52.375,32.4531,1.6387,0.6032,0.5,2.6,1.6,55.9148,23.5991,2.4,90.7,62.5,11.8333,2,0.5368,2
2023-01-01,489.2608,487.795,5.6252,6.0273,7.4688,8.4135,5.1353,0.7765,0.2839,0.1384,1.5,0.8512,61.587,34.9551,11.498,153.4017,50.7164,5.4604,4.4928,0.0,12.85,4.4125,24.8135,24.3161,0.0,86.1614,14.8847,13.4599,17.882,0.0,75.4774,2.9555,24.245,2.7178,18.0,27.0,25.0,38.215,11.8279,18.4062,57.125,36.0312,2.4285,0.5844,1.3,3.5,2.3,33.1748,25.1873,0.0,87.6,35.0,12.5833,3,0.7532,1
