date_time,air_temp,dni,ghi,dhi,gti,cloud_opacity
2023-06-04 13:00:00,25.75,956.5,779.25,64.5,965.25,0.0
2023-06-04 14:00:00,26.0,925.5,668.0,62.5,845.75,0.1
2023-06-04 15:00:00,26.0,873.75,501.25,55.75,665.0,0.0
2023-06-04 16:00:00,25.5,760.5,293.0,45.25,433.25,0.0
2023-06-04 17:00:00,24.0,357.75,78.5,24.0,143.75,7.55
2023-06-04 18:00:00,21.5,0.0,0.0,0.0,0.0,1.125
2023-06-04 19:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2023-06-04 20:00:00,19.25,0.0,0.0,0.0,0.0,0.0
2023-06-04 21:00:00,18.5,0.0,0.0,0.0,0.0,0.0
2023-06-04 22:00:00,18.0,0.0,0.0,0.0,0.0,0.0
2023-06-04 23:00:00,16.75,0.0,0.0,0.0,0.0,0.0
2023-06-05 00:00:00,16.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 01:00:00,15.25,0.0,0.0,0.0,0.0,0.0
2023-06-05 02:00:00,14.5,0.0,0.0,0.0,0.0,0.0
2023-06-05 03:00:00,14.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 04:00:00,13.5,0.0,0.0,0.0,0.0,0.0
2023-06-05 05:00:00,13.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 06:00:00,13.5,3.75,1.0,0.5,1.5,0.0
2023-06-05 07:00:00,15.5,505.0,112.25,28.25,205.0,0.0
2023-06-05 08:00:00,18.0,793.5,330.75,47.5,477.5,0.0
2023-06-05 09:00:00,19.75,891.75,534.5,56.75,702.5,0.0
2023-06-05 10:00:00,21.25,938.5,692.75,62.25,873.5,0.0
2023-06-05 11:00:00,22.75,959.75,790.5,65.0,978.0,0.0
2023-06-05 12:00:00,24.75,958.5,818.0,69.5,1006.75,0.0
2023-06-05 13:00:00,25.5,850.5,749.0,112.75,921.0,3.45
2023-06-05 14:00:00,26.0,843.5,646.25,97.25,813.75,2.675
2023-06-05 15:00:00,26.0,853.75,496.75,61.75,658.75,0.22499999999999998
2023-06-05 16:00:00,25.5,717.5,287.75,52.5,422.25,1.1
2023-06-05 17:00:00,23.5,149.25,63.75,39.0,93.0,29.225
2023-06-05 18:00:00,20.5,0.0,0.0,0.0,0.0,22.049999999999997
2023-06-05 19:00:00,19.5,0.0,0.0,0.0,0.0,14.425
2023-06-05 20:00:00,19.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 21:00:00,18.25,0.0,0.0,0.0,0.0,0.0
2023-06-05 22:00:00,18.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 23:00:00,17.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 00:00:00,16.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 01:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 02:00:00,14.5,0.0,0.0,0.0,0.0,0.0
2023-06-06 03:00:00,14.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 04:00:00,14.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 05:00:00,13.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 06:00:00,13.5,2.75,0.75,0.5,1.25,0.0
2023-06-06 07:00:00,16.0,470.5,108.0,29.75,195.5,0.0
2023-06-06 08:00:00,18.0,765.5,323.0,50.75,466.25,0.0
2023-06-06 09:00:00,19.75,868.75,524.75,61.0,690.5,0.0
2023-06-06 10:00:00,21.25,918.75,682.5,66.5,860.5,0.0
2023-06-06 11:00:00,23.0,942.25,780.5,69.5,965.5,0.0
2023-06-06 12:00:00,25.25,895.25,794.25,96.5,974.25,1.925
2023-06-06 13:00:00,26.0,652.5,687.25,200.5,828.75,10.675
2023-06-06 14:00:00,26.0,465.5,544.5,239.0,647.25,17.7
2023-06-06 15:00:00,26.0,291.0,375.5,223.75,437.25,24.475
2023-06-06 16:00:00,25.75,165.5,202.5,152.0,234.75,28.65
2023-06-06 17:00:00,24.0,27.5,53.0,49.75,57.5,26.375
2023-06-06 18:00:00,21.25,0.0,0.0,0.0,0.0,12.45
2023-06-06 19:00:00,20.0,0.0,0.0,0.0,0.0,5.949999999999999
2023-06-06 20:00:00,20.0,0.0,0.0,0.0,0.0,13.625
2023-06-06 21:00:00,19.5,0.0,0.0,0.0,0.0,0.0
2023-06-06 22:00:00,19.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 23:00:00,18.25,0.0,0.0,0.0,0.0,0.0
2023-06-07 00:00:00,17.25,0.0,0.0,0.0,0.0,0.0
2023-06-07 01:00:00,16.5,0.0,0.0,0.0,0.0,0.0
2023-06-07 02:00:00,16.0,0.0,0.0,0.0,0.0,0.0
2023-06-07 03:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-07 04:00:00,14.5,0.0,0.0,0.0,0.0,0.0
2023-06-07 05:00:00,14.0,0.0,0.0,0.0,0.0,0.0
2023-06-07 06:00:00,14.25,2.25,0.75,0.5,1.0,0.0
2023-06-07 07:00:00,16.0,447.25,105.75,31.5,189.75,0.0
2023-06-07 08:00:00,18.25,748.25,319.5,54.0,460.75,0.0
2023-06-07 09:00:00,19.75,854.5,520.0,65.0,684.5,0.0
2023-06-07 10:00:00,21.25,905.75,677.25,71.25,854.25,0.0
2023-06-07 11:00:00,23.0,929.5,774.0,74.5,958.5,0.0
2023-06-07 12:00:00,24.25,850.25,778.0,116.25,951.75,3.15
2023-06-07 13:00:00,25.0,559.5,655.0,238.25,779.0,14.0
2023-06-07 14:00:00,25.25,413.75,526.0,256.0,618.0,19.5
2023-06-07 15:00:00,25.5,326.75,381.5,213.5,452.5,22.15
2023-06-07 16:00:00,25.0,285.0,227.0,127.5,284.75,21.3
2023-06-07 17:00:00,23.75,6.75,40.0,39.5,40.0,37.275
2023-06-07 18:00:00,22.25,0.0,0.0,0.0,0.0,25.675
2023-06-07 19:00:00,20.5,0.0,0.0,0.0,0.0,27.150000000000002
2023-06-07 20:00:00,20.0,0.0,0.0,0.0,0.0,31.225
2023-06-07 21:00:00,19.0,0.0,0.0,0.0,0.0,32.75
2023-06-07 22:00:00,18.5,0.0,0.0,0.0,0.0,28.275
2023-06-07 23:00:00,17.75,0.0,0.0,0.0,0.0,12.549999999999999
2023-06-08 00:00:00,16.5,0.0,0.0,0.0,0.0,0.0
2023-06-08 01:00:00,16.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 02:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 03:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 04:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 05:00:00,14.0,0.0,0.0,0.0,0.0,1.125
2023-06-08 06:00:00,14.5,1.75,0.5,0.5,0.75,0.0
2023-06-08 07:00:00,16.5,412.75,102.75,32.5,180.75,2.4
2023-06-08 08:00:00,18.25,741.75,315.75,53.75,456.25,0.0
2023-06-08 09:00:00,19.75,849.0,515.75,65.0,679.5,0.0
2023-06-08 10:00:00,21.5,900.75,672.5,71.25,849.5,0.0
2023-06-08 11:00:00,23.25,920.0,769.0,77.75,953.0,0.0
2023-06-08 12:00:00,25.25,798.0,761.75,140.75,928.5,4.65
2023-06-08 13:00:00,26.0,537.75,648.0,247.25,768.0,14.625
2023-06-08 14:00:00,26.0,432.25,529.25,249.5,624.5,18.6
2023-06-08 15:00:00,26.0,493.5,418.75,167.0,524.0,14.2
2023-06-08 16:00:00,26.0,141.75,200.25,148.25,227.75,30.475
2023-06-08 17:00:00,24.5,0.25,35.0,35.0,33.75,45.725
2023-06-08 18:00:00,22.25,0.0,0.0,0.0,0.0,25.85
2023-06-08 19:00:00,20.75,0.0,0.0,0.0,0.0,17.2
2023-06-08 20:00:00,20.0,0.0,0.0,0.0,0.0,10.925
2023-06-08 21:00:00,20.0,0.0,0.0,0.0,0.0,23.425
2023-06-08 22:00:00,19.0,0.0,0.0,0.0,0.0,31.150000000000002
2023-06-08 23:00:00,18.5,0.0,0.0,0.0,0.0,27.15
2023-06-09 00:00:00,17.25,0.0,0.0,0.0,0.0,0.0
2023-06-09 01:00:00,16.25,0.0,0.0,0.0,0.0,37.575
2023-06-09 02:00:00,16.0,0.0,0.0,0.0,0.0,55.6
2023-06-09 03:00:00,15.25,0.0,0.0,0.0,0.0,16.525
2023-06-09 04:00:00,15.0,0.0,0.0,0.0,0.0,12.45
2023-06-09 05:00:00,14.75,0.0,0.0,0.0,0.0,30.3
2023-06-09 06:00:00,14.75,1.5,0.5,0.5,0.75,5.475
2023-06-09 07:00:00,16.5,284.5,93.25,42.5,149.0,10.3
2023-06-09 08:00:00,18.5,725.75,312.0,56.5,450.75,0.0
2023-06-09 09:00:00,20.5,848.75,513.0,63.0,677.0,0.075
2023-06-09 10:00:00,22.25,706.0,619.75,146.25,766.5,7.775
2023-06-09 11:00:00,23.75,736.5,711.0,158.5,866.25,7.324999999999999
2023-06-09 12:00:00,26.0,836.0,767.25,118.25,939.25,3.75
2023-06-09 13:00:00,26.25,511.75,635.25,254.25,750.25,16.125
2023-06-09 14:00:00,27.0,358.0,505.25,271.5,585.0,22.375
2023-06-09 15:00:00,27.0,265.0,363.75,227.5,420.75,25.4
2023-06-09 16:00:00,26.5,57.5,180.75,160.75,189.25,36.55
2023-06-09 17:00:00,24.75,15.25,38.75,37.5,40.5,37.1
2023-06-09 18:00:00,22.0,0.0,0.0,0.0,0.0,23.7
2023-06-09 19:00:00,21.0,0.0,0.0,0.0,0.0,22.175
2023-06-09 20:00:00,20.0,0.0,0.0,0.0,0.0,4.2
2023-06-09 21:00:00,20.0,0.0,0.0,0.0,0.0,7.05
2023-06-09 22:00:00,19.5,0.0,0.0,0.0,0.0,3.4
2023-06-09 23:00:00,18.5,0.0,0.0,0.0,0.0,0.0
2023-06-10 00:00:00,17.25,0.0,0.0,0.0,0.0,0.0
2023-06-10 01:00:00,16.25,0.0,0.0,0.0,0.0,0.0
2023-06-10 02:00:00,15.75,0.0,0.0,0.0,0.0,0.0
2023-06-10 03:00:00,15.0,0.0,0.0,0.0,0.0,0.0
