date_time,air_temp,ghi,gti
2023-06,19.42,4.8,6.65
2023-07,19.78,4.82,6.53
2023-08,21.89,5.27,6.96
2023-09,24.94,5.99,7.62
2023-10,23.58,6.14,7.55
2023-11,23.76,6.63,8.43
2023-12,21.1,6.34,7.87
2024-01,22.37,5.59,6.77
2024-02,22.36,5.96,7.29
2024-03,22.43,5.02,6.14
2024-04,22.85,5.26,6.8
2024-05,21.29,5.36,7.41
2024-06,19.66,5.05,7.12
2024-07,19.52,5.52,7.85
2024-08,21.16,6.05,8.16
